table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length
public,ai_attribute_contexts,id,1,nextval('ai_attribute_contexts_id_seq'::regclass),NO,integer,
public,ai_attribute_contexts,attribute_id,2,,YES,integer,
public,ai_attribute_contexts,context_type,3,,NO,character varying,50
public,ai_attribute_contexts,context_title,4,,NO,character varying,200
public,ai_attribute_contexts,detailed_description,5,,NO,text,
public,ai_attribute_contexts,examples,6,'[]'::jsonb,YES,jsonb,
public,ai_attribute_contexts,keywords,7,,YES,ARRAY,
public,ai_attribute_contexts,related_attributes,8,,YES,ARRAY,
public,ai_attribute_contexts,confidence_score,9,1.0,YES,numeric,
public,ai_attribute_contexts,source,10,,YES,character varying,100
public,ai_attribute_contexts,last_validated,11,,YES,timestamp without time zone,
public,ai_attribute_contexts,created_at,12,CURRENT_TIMESTAMP,YES,timestamp without time zone,
public,ai_attribute_contexts,updated_at,13,CURRENT_TIMESTAMP,YES,timestamp without time zone,
public,ai_metadata_contexts,id,1,nextval('ai_metadata_contexts_id_seq'::regclass),NO,integer,
public,ai_metadata_contexts,context_name,2,,NO,character varying,100
public,ai_metadata_contexts,description,3,,YES,text,
public,ai_metadata_contexts,prompt_template,4,,YES,text,
public,ai_metadata_contexts,example_queries,5,'[]'::jsonb,YES,jsonb,
public,ai_metadata_contexts,response_format,6,'{}'::jsonb,YES,jsonb,
public,ai_metadata_contexts,model_config,7,'{}'::jsonb,YES,jsonb,
public,ai_metadata_contexts,created_at,8,CURRENT_TIMESTAMP,YES,timestamp without time zone,
public,ai_metadata_contexts,updated_at,9,CURRENT_TIMESTAMP,YES,timestamp without time zone,
public,ai_prompt_contexts,id,1,nextval('ai_prompt_contexts_id_seq'::regclass),NO,integer,
public,ai_prompt_contexts,context_name,2,,NO,character varying,100
public,ai_prompt_contexts,scenario_description,3,,NO,text,
public,ai_prompt_contexts,base_prompt_template,4,,NO,text,
public,ai_prompt_contexts,attribute_inclusion_rules,5,'{}'::jsonb,YES,jsonb,
public,ai_prompt_contexts,response_format_template,6,'{}'::jsonb,YES,jsonb,
public,ai_prompt_contexts,few_shot_examples,7,'[]'::jsonb,YES,jsonb,
public,ai_prompt_contexts,model_parameters,8,'{}'::jsonb,YES,jsonb,
public,ai_prompt_contexts,success_criteria,9,,YES,text,
public,ai_prompt_contexts,common_failure_modes,10,,YES,text,
public,ai_prompt_contexts,created_at,11,CURRENT_TIMESTAMP,YES,timestamp without time zone,
public,ai_training_examples,id,1,nextval('ai_training_examples_id_seq'::regclass),NO,integer,
public,ai_training_examples,attribute_id,2,,YES,integer,
public,ai_training_examples,example_type,3,,NO,character varying,50
public,ai_training_examples,input_example,4,,NO,jsonb,
