constraint_schema,constraint_name,table_schema,table_name,constraint_type
public,2200_18235_5_not_null,public,ai_attribute_contexts,CHECK
public,2200_18235_1_not_null,public,ai_attribute_contexts,CHECK
public,2200_18235_3_not_null,public,ai_attribute_contexts,CHECK
public,2200_18235_4_not_null,public,ai_attribute_contexts,CHECK
public,ai_attribute_contexts_attribute_id_fkey,public,ai_attribute_contexts,FOREIGN KEY
public,ai_attribute_contexts_pkey,public,ai_attribute_contexts,PRIMARY KEY
public,2200_17986_2_not_null,public,ai_metadata_contexts,CHECK
public,2200_17986_1_not_null,public,ai_metadata_contexts,CHECK
public,ai_metadata_contexts_pkey,public,ai_metadata_contexts,PRIMARY KEY
public,ai_metadata_contexts_context_name_key,public,ai_metadata_contexts,UNIQUE
public,2200_18276_4_not_null,public,ai_prompt_contexts,CHECK
public,2200_18276_3_not_null,public,ai_prompt_contexts,CHECK
public,2200_18276_1_not_null,public,ai_prompt_contexts,CHECK
public,2200_18276_2_not_null,public,ai_prompt_contexts,CHECK
public,ai_prompt_contexts_pkey,public,ai_prompt_contexts,PRIMARY KEY
public,ai_prompt_contexts_context_name_key,public,ai_prompt_contexts,UNIQUE
public,2200_18292_6_not_null,public,ai_training_examples,CHECK
public,2200_18292_1_not_null,public,ai_training_examples,CHECK
public,2200_18292_3_not_null,public,ai_training_examples,CHECK
public,2200_18292_4_not_null,public,ai_training_examples,CHECK
public,ai_training_examples_attribute_id_fkey,public,ai_training_examples,FOREIGN KEY
public,ai_training_examples_pkey,public,ai_training_examples,PRIMARY KEY
public,2200_18519_1_not_null,public,attribute_cluster_memberships,CHECK
public,attribute_cluster_memberships_attribute_id_fkey,public,attribute_cluster_memberships,FOREIGN KEY
public,attribute_cluster_memberships_cluster_id_fkey,public,attribute_cluster_memberships,FOREIGN KEY
public,attribute_cluster_memberships_pkey,public,attribute_cluster_memberships,PRIMARY KEY
public,attribute_cluster_memberships_attribute_id_cluster_id_key,public,attribute_cluster_memberships,UNIQUE
public,2200_18308_4_not_null,public,attribute_documentation,CHECK
public,2200_18308_3_not_null,public,attribute_documentation,CHECK
public,2200_18308_1_not_null,public,attribute_documentation,CHECK
public,2200_18308_5_not_null,public,attribute_documentation,CHECK
public,attribute_documentation_attribute_id_fkey,public,attribute_documentation,FOREIGN KEY
public,attribute_documentation_pkey,public,attribute_documentation,PRIMARY KEY
public,2200_18173_1_not_null,public,attribute_domain_mappings,CHECK
public,attribute_domain_mappings_attribute_id_fkey,public,attribute_domain_mappings,FOREIGN KEY
public,attribute_domain_mappings_domain_id_fkey,public,attribute_domain_mappings,FOREIGN KEY
public,attribute_domain_mappings_pkey,public,attribute_domain_mappings,PRIMARY KEY
public,attribute_domain_mappings_attribute_id_domain_id_key,public,attribute_domain_mappings,UNIQUE
public,2200_18543_5_not_null,public,attribute_filter_configurations,CHECK
public,2200_18543_1_not_null,public,attribute_filter_configurations,CHECK
public,2200_18543_2_not_null,public,attribute_filter_configurations,CHECK
public,2200_18543_4_not_null,public,attribute_filter_configurations,CHECK
public,attribute_filter_configurations_pkey,public,attribute_filter_configurations,PRIMARY KEY
public,attribute_filter_configurations_filter_name_key,public,attribute_filter_configurations,UNIQUE
public,2200_18441_1_not_null,public,attribute_lineage,CHECK
public,2200_18441_4_not_null,public,attribute_lineage,CHECK
public,attribute_lineage_target_attribute_id_fkey,public,attribute_lineage,FOREIGN KEY
