schemaname,tablename,indexname,indexdef
public,ai_attribute_contexts,ai_attribute_contexts_pkey,CREATE UNIQUE INDEX ai_attribute_contexts_pkey ON public.ai_attribute_contexts USING btree (id)
public,ai_attribute_contexts,idx_ai_attribute_contexts_attribute,CREATE INDEX idx_ai_attribute_contexts_attribute ON public.ai_attribute_contexts USING btree (attribute_id)
public,ai_attribute_contexts,idx_ai_attribute_contexts_keywords,CREATE INDEX idx_ai_attribute_contexts_keywords ON public.ai_attribute_contexts USING gin (keywords)
public,ai_attribute_contexts,idx_ai_attribute_contexts_type,CREATE INDEX idx_ai_attribute_contexts_type ON public.ai_attribute_contexts USING btree (context_type)
public,ai_metadata_contexts,ai_metadata_contexts_context_name_key,CREATE UNIQUE INDEX ai_metadata_contexts_context_name_key ON public.ai_metadata_contexts USING btree (context_name)
public,ai_metadata_contexts,ai_metadata_contexts_pkey,CREATE UNIQUE INDEX ai_metadata_contexts_pkey ON public.ai_metadata_contexts USING btree (id)
public,ai_prompt_contexts,ai_prompt_contexts_context_name_key,CREATE UNIQUE INDEX ai_prompt_contexts_context_name_key ON public.ai_prompt_contexts USING btree (context_name)
public,ai_prompt_contexts,ai_prompt_contexts_pkey,CREATE UNIQUE INDEX ai_prompt_contexts_pkey ON public.ai_prompt_contexts USING btree (id)
public,ai_training_examples,ai_training_examples_pkey,CREATE UNIQUE INDEX ai_training_examples_pkey ON public.ai_training_examples USING btree (id)
public,ai_training_examples,idx_ai_training_examples_attribute,CREATE INDEX idx_ai_training_examples_attribute ON public.ai_training_examples USING btree (attribute_id)
public,ai_training_examples,idx_ai_training_examples_type,CREATE INDEX idx_ai_training_examples_type ON public.ai_training_examples USING btree (example_type)
public,attribute_cluster_memberships,attribute_cluster_memberships_attribute_id_cluster_id_key,"CREATE UNIQUE INDEX attribute_cluster_memberships_attribute_id_cluster_id_key ON public.attribute_cluster_memberships USING btree (attribute_id, cluster_id)"
public,attribute_cluster_memberships,attribute_cluster_memberships_pkey,CREATE UNIQUE INDEX attribute_cluster_memberships_pkey ON public.attribute_cluster_memberships USING btree (id)
public,attribute_cluster_memberships,idx_attribute_cluster_memberships_strength,CREATE INDEX idx_attribute_cluster_memberships_strength ON public.attribute_cluster_memberships USING btree (membership_strength)
public,attribute_cluster_memberships,idx_attribute_cluster_memberships_type,CREATE INDEX idx_attribute_cluster_memberships_type ON public.attribute_cluster_memberships USING btree (membership_type)
public,attribute_documentation,attribute_documentation_pkey,CREATE UNIQUE INDEX attribute_documentation_pkey ON public.attribute_documentation USING btree (id)
public,attribute_documentation,idx_attribute_documentation_attribute,CREATE INDEX idx_attribute_documentation_attribute ON public.attribute_documentation USING btree (attribute_id)
public,attribute_domain_mappings,attribute_domain_mappings_attribute_id_domain_id_key,"CREATE UNIQUE INDEX attribute_domain_mappings_attribute_id_domain_id_key ON public.attribute_domain_mappings USING btree (attribute_id, domain_id)"
public,attribute_domain_mappings,attribute_domain_mappings_pkey,CREATE UNIQUE INDEX attribute_domain_mappings_pkey ON public.attribute_domain_mappings USING btree (id)
public,attribute_domain_mappings,idx_attribute_domain_mappings_attribute,CREATE INDEX idx_attribute_domain_mappings_attribute ON public.attribute_domain_mappings USING btree (attribute_id)
public,attribute_domain_mappings,idx_attribute_domain_mappings_domain,CREATE INDEX idx_attribute_domain_mappings_domain ON public.attribute_domain_mappings USING btree (domain_id)
public,attribute_filter_configurations,attribute_filter_configurations_filter_name_key,CREATE UNIQUE INDEX attribute_filter_configurations_filter_name_key ON public.attribute_filter_configurations USING btree (filter_name)
public,attribute_filter_configurations,attribute_filter_configurations_pkey,CREATE UNIQUE INDEX attribute_filter_configurations_pkey ON public.attribute_filter_configurations USING btree (id)
public,attribute_lineage,attribute_lineage_pkey,CREATE UNIQUE INDEX attribute_lineage_pkey ON public.attribute_lineage USING btree (id)
public,attribute_lineage,attribute_lineage_target_attribute_id_source_attribute_id_l_key,"CREATE UNIQUE INDEX attribute_lineage_target_attribute_id_source_attribute_id_l_key ON public.attribute_lineage USING btree (target_attribute_id, source_attribute_id, lineage_type)"
public,attribute_lineage,idx_attribute_lineage_source,CREATE INDEX idx_attribute_lineage_source ON public.attribute_lineage USING btree (source_attribute_id)
public,attribute_lineage,idx_attribute_lineage_target,CREATE INDEX idx_attribute_lineage_target ON public.attribute_lineage USING btree (target_attribute_id)
public,attribute_objects,attribute_objects_pkey,CREATE UNIQUE INDEX attribute_objects_pkey ON public.attribute_objects USING btree (id)
public,attribute_objects,attribute_objects_resource_id_attribute_name_key,"CREATE UNIQUE INDEX attribute_objects_resource_id_attribute_name_key ON public.attribute_objects USING btree (resource_id, attribute_name)"
public,attribute_objects,idx_ai_enhanced_view_full_text,"CREATE INDEX idx_ai_enhanced_view_full_text ON public.attribute_objects USING gin (to_tsvector('english'::regconfig, (((((((((COALESCE(attribute_name, ''::character varying))::text || ' '::text) || COALESCE(description, ''::text)) || ' '::text) || COALESCE(extended_description, ''::text)) || ' '::text) || COALESCE(business_context, ''::text)) || ' '::text) || COALESCE(technical_context, ''::text))))"
public,attribute_objects,idx_attribute_comprehensive_search,"CREATE INDEX idx_attribute_comprehensive_search ON public.attribute_objects USING gin (to_tsvector('english'::regconfig, (((((((((COALESCE(attribute_name, ''::character varying))::text || ' '::text) || COALESCE(description, ''::text)) || ' '::text) || COALESCE(extended_description, ''::text)) || ' '::text) || COALESCE(business_context, ''::text)) || ' '::text) || COALESCE(technical_context, ''::text))))"
public,attribute_objects,idx_attribute_objects_ai_context,CREATE INDEX idx_attribute_objects_ai_context ON public.attribute_objects USING gin (ai_context)
public,attribute_objects,idx_attribute_objects_class,CREATE INDEX idx_attribute_objects_class ON public.attribute_objects USING btree (attribute_class)
public,attribute_objects,idx_attribute_objects_derivation_deps,CREATE INDEX idx_attribute_objects_derivation_deps ON public.attribute_objects USING gin (derivation_dependencies)
public,attribute_objects,idx_attribute_objects_embedding,CREATE INDEX idx_attribute_objects_embedding ON public.attribute_objects USING ivfflat (embedding_vector vector_cosine_ops)
public,attribute_objects,idx_attribute_objects_embedding_cosine,CREATE INDEX idx_attribute_objects_embedding_cosine ON public.attribute_objects USING ivfflat (embedding_vector vector_cosine_ops) WITH (lists='100')
public,attribute_objects,idx_attribute_objects_group,CREATE INDEX idx_attribute_objects_group ON public.attribute_objects USING btree (ui_group)
public,attribute_objects,idx_attribute_objects_name,CREATE INDEX idx_attribute_objects_name ON public.attribute_objects USING btree (attribute_name)
public,attribute_objects,idx_attribute_objects_resource,CREATE INDEX idx_attribute_objects_resource ON public.attribute_objects USING btree (resource_id)
public,attribute_objects,idx_attribute_objects_search_keywords,CREATE INDEX idx_attribute_objects_search_keywords ON public.attribute_objects USING gin (search_keywords)
